from	to	type
CHEMBL72862	ADORA2A	antagonist
1400W	NOS2	inhibitor
RIGOSERTIB SODIUM	F2R	inhibitor
CHEMBL313714	HTR1A	agonist
CHEMBL179691	GNRHR	antagonist
TIPROLISANT	HRH4	antagonist
CHEMBL239226	PTGER2	agonist
LOMITAPIDE	MTTP	inhibitor
COLCHICINE	TUBA3E	inhibitor
VANDETANIB	FLT1	inhibitor
CHEMBL1770298	FPR1	antagonist
RAMELTEON	MTNR1A	agonist
ORPHENADRINE (CHLORIDE)	NAT1	inhibitor
PHENELZINE	SLC6A2	inhibitor
AMELUBANT	LTB4R	antagonist
GLUCAGON	GCGR	binder
ERGOTAMINE TARTRATE	HTR1D	agonist
NAFCILLIN	HRH4	antagonist
MARAVIROC	CCR5	antagonist
BROMOCRIPTINE	DRD3	agonist
GUANIDINO ACETATE	CCR5	agonist
TOLVAPTAN	AVPR2	antagonist
CHEMBL384527	P2RY6	agonist
PROPOFOL	GABRQ	positive_allosteric_modulator
VINCRISTINE SULFATE	TUBA3E	inhibitor
PILOCARPINE HYDROCHLORIDE	CHRM1	agonist
TRASTUZUMAB EMTANSINE	TUBB1	inhibitor
AJMALINE	SSTR3	agonist
DOPAMINE	DRD5	agonist
SERTINDOLE	HTR2A	antagonist
ZONAMPANEL	GRIA1	antagonist
SB-742457	HTR6	antagonist
DESLORATADINE	HRH1	antagonist
XANOMELINE	HTR1D	agonist
URACIL MUSTARD	CYSLTR2	agonist
DIOTYROSINE	HCRTR1	agonist
SOLABEGRON	ADRB2	agonist
CHEMBL432038	GRM3	antagonist
SPERMIDINE	KCNJ4	channel_blocker
METFORMIN HYDROCHLORIDE	MT-ND4	inhibitor
CHEMBL1255588	HTR1A	antagonist
OXATOMIDE	HRH1	antagonist
NV-128	MT-ND2	inhibitor
HYDROXYPROGESTERONE CAPROATE	CCR4	agonist
VAPREOTIDE	SSTR2	agonist
SB-649868	HCRTR1	antagonist
CHEMBL49247	HTR1A	agonist
TERGURIDE	HTR1B	agonist
CHEMBL76273	ADORA2A	antagonist
ANDECALIXIMAB	MMP9	antibody
SECUKINUMAB	IL17A	inhibitor
CHEMBL1466483	GPR17	agonist
CHEMBL1269257	CCKAR	agonist
BLOSOZUMAB	SOST	inhibitor
CARBENOXOLONE	GJD4	inhibitor
HALOPERIDOL DECANOATE	DRD3	inverse_agonist
SCH-23390	KCNJ4	channel_blocker
CE-245677	TEK	inhibitor
CHEMBL1669669	TAAR1	antagonist
CHLORPROMAZINE	HTR2A	antagonist
OCTANOL	OSGIN2	inhibitor
CHEMBL525028	VIPR2	agonist
