from	to	type
AATF	BAX	Repression
AATF	CDKN1A	Unknown
AATF	KLK3	Unknown
AATF	MYC	Activation
AATF	TP53	Unknown
ABL1	BAX	Activation
ABL1	BCL2	Repression
ABL1	BCL6	Repression
ABL1	CCND2	Activation
ABL1	CDKN1A	Activation
ABL1	CSF1	Unknown
ABL1	FOXO3	Activation
ABL1	JUN	Repression
ABL1	PIM1	Activation
ABL1	TP53	Activation
AHR	ABCG2	Unknown
AHR	AHRR	Activation
AHR	ARNT	Unknown
AHR	BRCA1	Unknown
AHR	CA9	Repression
AHR	CCND1	Unknown
AHR	CCNG2	Activation
AHR	CYP1A1	Unknown
AHR	CYP1A2	Unknown
AHR	CYP1B1	Unknown
AHR	CYP2B6	Unknown
AHR	FOS	Unknown
AHR	IL13	Unknown
AHR	IL1B	Unknown
AHR	IL6	Unknown
AHR	MFSD2A	Unknown
AHR	MT2A	Unknown
AHR	MYC	Unknown
AHR	PCNA	Activation
AHR	RFC3	Activation
AHR	UGT1A1	Activation
AHR	UGT1A6	Unknown
AIP	AHR	Activation
AIP	GREB1	Repression
AIP	NFKB2	Repression
AIP	RSF1	Repression
AIP	TFF1	Repression
AIRE	CHRNA1	Unknown
ANKRD1	NPPA	Repression
APBB1	GMPS	Repression
APC	AKT1	Repression
APC	AMHR2	Repression
APC	BIRC5	Unknown
APC	DLG1	Unknown
APC	DNMT1	Repression
APC	F8	Unknown
APC	KLF4	Unknown
APC	MYC	Repression
APC	NOS2	Activation
APC	ODC1	Repression
APC	PTGS2	Unknown
APC	SGK1	Repression
APEX1	CCL2	Activation
APEX1	CD19	Activation
APEX1	CYP11B2	Repression
APEX1	NFKB1	Activation
APEX1	PTH	Repression
APEX1	RELA	Activation
APEX1	SLC5A5	Activation
AR	ACTA1	Activation
AR	AKR1C3	Repression
AR	AKT1	Unknown
AR	ALDH1A3	Unknown
AR	ARG1	Activation
AR	ARG2	Activation
AR	ATAD2	Unknown
AR	BSG	Unknown
AR	BTG1	Repression
AR	BTG2	Repression
AR	CDK20	Activation
AR	CDC6	Unknown
AR	CDH1	Repression
AR	CDH11	Unknown
AR	CDH2	Activation
AR	CDK6	Unknown
AR	CDKN1A	Unknown
AR	CLK3	Repression
AR	CRH	Repression
AR	CRISP1	Unknown
AR	CRISP3	Unknown
AR	CTNNB1	Activation
AR	CYP7B1	Repression
AR	EGFR	Unknown
AR	ELK4	Unknown
AR	EP300	Activation
AR	ERBB2	Unknown
AR	ERBB3	Activation
AR	ETV1	Activation
AR	FKBP4	Unknown
AR	FN1	Unknown
AR	FOLH1	Unknown
AR	FOXA1	Unknown
AR	GNMT	Unknown
AR	GREB1	Unknown
AR	GTF2F1	Unknown
AR	HMMR	Unknown
AR	HMOX1	Activation
AR	IFI16	Unknown
AR	IGF1R	Activation
AR	IGFBP3	Unknown
AR	JUN	Unknown
AR	KISS1	Activation
AR	KISS1R	Activation
AR	KLF5	Unknown
AR	KLK1	Unknown
AR	KLK2	Unknown
AR	KLK3	Activation
AR	KLK4	Unknown
AR	MED1	Unknown
AR	MID1	Unknown
AR	MUC1	Unknown
AR	MYC	Unknown
AR	NAT1	Activation
AR	NDRG1	Unknown
AR	NFKB1	Repression
AR	NKX3-1	Unknown
AR	NRAS	Repression
AR	PC	Activation
AR	PSCA	Unknown
AR	PEBP1	Unknown
AR	PIGR	Unknown
AR	PIP	Unknown
AR	PMEPA1	Unknown
AR	PNRC1	Unknown
AR	PTEN	Unknown
AR	PTGS2	Unknown
AR	PTPN1	Unknown
AR	RELA	Unknown
AR	REST	Repression
AR	SERPINB5	Repression
AR	SESN1	Unknown
AR	SRD5A3	Unknown
AR	STIM1	Unknown
AR	TBP	Unknown
AR	TCF7L2	Unknown
AR	TGFA	Activation
AR	TH	Activation
AR	TJP1	Activation
AR	TMPRSS2	Unknown
AR	TRPS1	Unknown
AR	TSC1	Repression
AR	TSC2	Repression
AR	UCN	Repression
AR	UGT2B15	Unknown
AR	USP26	Unknown
AR	VEGFA	Unknown
AR	VIM	Repression
AR	WEE1	Repression
AR	WNT7B	Activation
AR	XIAP	Repression
ARID1A	CDKN1A	Unknown
ARID1A	SMAD3	Unknown
ARID3A	CDC6	Unknown
ARID3A	CDK1	Unknown
ARID3A	CR2	Unknown
ARID3A	E2F1	Unknown
ARID3A	PML	Activation
ARID3A	RBL1	Unknown
ARNT	AHR	Unknown
ARNT	BHLHE40	Unknown
ARNT	BRCA1	Unknown
ARNT	CA9	Activation
ARNT	CCNE1	Repression
ARNT	CDK2	Repression
ARNT	CTSD	Unknown
ARNT	CYP1A1	Unknown
ARNT	CYP1B1	Unknown
ARNT	EGLN2	Unknown
ARNT	EPO	Activation
ARNT	ESR1	Unknown
ARNT	FOS	Repression
ARNT	GAD1	Unknown
ARNT	HIF1A	Activation
ARNT	JUN	Repression
ARNT	MFSD2A	Unknown
ARNT	RELB	Unknown
ARNT	UGT1A6	Unknown
ARNT	VEGFA	Activation
ARNTL	BHLHE40	Activation
ARNTL	CRY1	Activation
ARNTL	CRY2	Activation
ARNTL	PER1	Activation
ARNTL	PER2	Activation
ARNTL	PER3	Activation
ARNTL2	SERPINE1	Activation
ARX	KDM5C	Unknown
ARX	LMO1	Unknown
ARX	PAX4	Unknown
ARX	SHOX2	Unknown
ASCL1	CHRNA3	Unknown
ASCL1	CHRNA5	Unknown
ASCL1	CHRNB4	Unknown
ASCL1	DKK1	Repression
ASCL1	IGF2	Repression
ASCL1	PCSK6	Repression
ASCL1	TPH1	Repression
ASH1L	TGFB1	Unknown
ASH1L	TIMP1	Unknown
ASXL1	FABP4	Unknown
ATF1	BCL2	Unknown
ATF1	CCNA1	Unknown
ATF1	CFTR	Unknown
ATF1	CGA	Unknown
ATF1	CYP11B1	Unknown
ATF1	CYP11B2	Unknown
ATF1	ERBB2	Unknown
ATF1	FLT1	Unknown
ATF1	FTH1	Repression
ATF1	GABPA	Unknown
ATF1	IL10	Unknown
ATF1	LDHA	Unknown
ATF1	MAP1LC3B	Activation
ATF1	MITF	Unknown
ATF1	MUC2	Unknown
ATF1	NTS	Unknown
ATF1	PCSK1	Unknown
ATF1	PLAUR	Unknown
ATF1	SLC20A1	Unknown
ATF1	SLC22A8	Unknown
ATF1	TGFB2	Unknown
ATF1	TH	Unknown
ATF1	TOP2A	Unknown
ATF1	USP7	Unknown
ATF2	APOC3	Unknown
ATF2	ATF3	Unknown
ATF2	CCND1	Activation
ATF2	CDKN1A	Activation
ATF2	CYP11B1	Activation
ATF2	CYP11B2	Activation
ATF2	DUSP1	Unknown
ATF2	DUSP10	Unknown
ATF2	FAS	Unknown
ATF2	FASLG	Unknown
ATF2	FN1	Unknown
ATF2	KAT5	Repression
ATF2	IFNB1	Unknown
ATF2	IFNG	Unknown
ATF2	IMPDH2	Unknown
ATF2	INS	Activation
ATF2	ITGB8	Unknown
ATF2	JUN	Unknown
ATF2	MAP3K1	Unknown
ATF2	MMP2	Activation
ATF2	NOS3	Repression
ATF2	PCK1	Activation
ATF2	PCK2	Activation
ATF2	PLAT	Unknown
ATF2	PLAU	Unknown
ATF2	POLB	Activation
ATF2	PTGS2	Unknown
ATF2	RELA	Activation
ATF2	RETN	Activation
ATF2	ST3GAL5	Activation
ATF2	TGFB2	Unknown
ATF2	TNF	Activation
ATF3	ADIPOR1	Repression
ATF3	ADIPOR2	Repression
ATF3	AK4	Unknown
ATF3	ASNS	Unknown
ATF3	CCL5	Unknown
ATF3	CD82	Unknown
ATF3	DDIT3	Activation
ATF3	GDF15	Activation
ATF3	ID1	Repression
ATF3	IFNG	Activation
ATF3	PCLAF	Unknown
ATF3	LDLR	Repression
ATF3	MMP2	Repression
ATF3	PENK	Unknown
ATF3	SELE	Repression
ATF3	TP53	Unknown
ATF4	APOE	Activation
ATF4	ASNS	Unknown
ATF4	ATF3	Unknown
ATF4	ATG5	Activation
ATF4	BGLAP	Unknown
ATF4	CA9	Unknown
ATF4	CCL2	Unknown
ATF4	CEBPB	Activation
ATF4	CHAC1	Activation
ATF4	CXCL8	Activation
ATF4	DDIT3	Activation
ATF4	DDIT4	Activation
ATF4	DDR2	Activation
ATF4	DISC1	Unknown
ATF4	F7	Unknown
ATF4	FGF19	Activation
ATF4	FGF21	Activation
ATF4	HRK	Activation
ATF4	HSPA5	Repression
ATF4	IGFBP1	Activation
ATF4	IL6	Unknown
ATF4	IRF7	Repression
ATF4	MAP1LC3B	Activation
ATF4	MCL1	Activation
ATF4	NDC80	Activation
ATF4	NUPR1	Activation
ATF4	PLAU	Activation
ATF4	PTGS2	Unknown
ATF4	S100P	Unknown
ATF4	SIGMAR1	Activation
ATF4	SIRT1	Repression
ATF4	SIRT2	Repression
ATF4	TNFRSF10B	Unknown
ATF4	TRIB3	Unknown
ATF4	VEGFA	Activation
ATF5	BCL2	Activation
ATF5	CCND3	Activation
ATF5	CREB1	Activation
ATF5	CYP2B6	Activation
ATF5	DISC1	Unknown
ATF5	EGR1	Unknown
ATF5	ID1	Repression
ATF5	SH2D1A	Unknown
ATF6	ATP2A2	Unknown
ATF6	BGLAP	Unknown
ATF6	DDIT3	Unknown
ATF6	DNAJC3	Activation
ATF6	HSPA5	Unknown
ATF6	MAFA	Repression
ATF6	NR0B2	Activation
ATF6	NUCB1	Activation
ATF6	PDX1	Repression
ATF6	RTN3	Activation
ATF6	SRF	Unknown
ATF6	STARD4	Activation
ATF6	WBP1	Activation
ATF6	XBP1	Unknown
ATF7	ERBB2	Unknown
ATF7	TAF12	Activation
ATM	APLF	Unknown
ATM	BAX	Activation
ATM	BCL2	Repression
ATM	CDKN1A	Unknown
ATM	CFLAR	Repression
ATM	DUSP1	Activation
ATM	FAS	Activation
ATM	FOXM1	Activation
ATM	GADD45A	Activation
ATM	IGF1R	Unknown
ATM	KLRK1	Activation
ATM	MCL1	Activation
ATM	MTF1	Unknown
ATM	PBK	Unknown
ATM	PCNA	Unknown
ATM	PMAIP1	Repression
ATM	PVR	Repression
ATM	SLC2A1	Repression
ATM	SP1	Unknown
ATM	TERF1	Repression
ATM	TNFRSF10B	Repression
ATM	VEGFA	Repression
ATOH1	HES6	Activation
ATOH1	MUC2	Activation
ATRX	HBA1	Repression
ATRX	HBA2	Repression
BACH1	HMOX1	Repression
BACH1	MMP1	Activation
BACH2	BCL2	Unknown
BACH2	IL2	Unknown
BACH2	XBP1	Repression
BARD1	ESR1	Activation
BARX2	ESR1	Unknown
BATF	CD2	Unknown
BCL11A	GATA1	Unknown
BCL3	CTCF	Repression
BCL3	EGFR	Activation
BCL3	MYB	Unknown
BCL3	NFKB1	Unknown
BCL3	RELA	Unknown
BCL6	BCL2L1	Repression
BCL6	BCL6	Repression
BCL6	CCND2	Repression
BCL6	CD80	Repression
BCL6	CDKN1A	Repression
BCL6	CDKN2B	Repression
BCL6	CHEK1	Repression
BCL6	FCER2	Repression
BCL6	HDAC7	Repression
BCL6	IRF4	Repression
BCL6	LITAF	Repression
BCL6	MYC	Activation
BCL6	NFKB1	Repression
BCL6	PDCD2	Unknown
BCL6	STAT3	Unknown
BCL6	SUMO1	Repression
BCL6	XBP1	Repression
BDP1	MYC	Unknown
BDP1	RB1	Unknown
BDP1	TP53	Unknown
BHLHE41	CCND1	Repression
BHLHE41	MLH1	Repression
BIN1	MYC	Unknown
BMI1	TERT	Repression
BPTF	HOXC8	Unknown
BRCA1	AREG	Unknown
BRCA1	ASPM	Activation
BRCA1	ATM	Activation
BRCA1	BACH1	Unknown
BRCA1	BRCA2	Unknown
BRCA1	CASR	Unknown
BRCA1	CCNB1	Unknown
BRCA1	CCND1	Unknown
BRCA1	CDH3	Unknown
BRCA1	CDKN1A	Unknown
BRCA1	CDKN1B	Unknown
BRCA1	CTSD	Repression
BRCA1	CXCL1	Repression
BRCA1	CYP19A1	Unknown
BRCA1	CYP1A1	Unknown
BRCA1	CYP1B1	Unknown
BRCA1	DDB2	Unknown
BRCA1	DDIT3	Activation
BRCA1	E2F6	Repression
BRCA1	EGFR	Repression
BRCA1	EGR1	Unknown
BRCA1	EP300	Unknown
BRCA1	ESR1	Unknown
BRCA1	FOS	Unknown
BRCA1	FOXC1	Repression
BRCA1	FOXC2	Repression
BRCA1	FST	Activation
BRCA1	GADD45A	Unknown
BRCA1	HIF1A	Unknown
BRCA1	HMGA2	Repression
BRCA1	HNRNPA2B1	Repression
BRCA1	HSPA5	Repression
BRCA1	IFNA1	Activation
BRCA1	IGF1	Repression
BRCA1	IGF1R	Unknown
BRCA1	IRF7	Activation
BRCA1	IRF9	Activation
BRCA1	JAK1	Unknown
BRCA1	JAK2	Unknown
BRCA1	KHSRP	Repression
BRCA1	KRT17	Unknown
BRCA1	KRT18	Unknown
BRCA1	KRT5	Unknown
BRCA1	MAD2L1	Activation
BRCA1	MDC1	Unknown
BRCA1	MDM2	Activation
BRCA1	MYC	Unknown
BRCA1	RNASEL	Activation
BRCA1	S100A2	Activation
BRCA1	SIRT1	Activation
BRCA1	STAT1	Activation
BRCA1	STAT2	Activation
BRCA1	STAT3	Unknown
BRCA1	TFF1	Repression
BRCA1	TP63	Unknown
BRCA1	VEGFA	Activation
BRCA1	XPC	Unknown
BRCA2	DMC1	Unknown
BRCA2	PSMD3	Unknown
BRCA2	PSMD6	Unknown
BRCA2	RAD51	Unknown
BRD7	BRD2	Activation
BRD7	BRD3	Activation
BRD7	E2F3	Unknown
BRIP1	BARD1	Unknown
BRIP1	MLH1	Unknown
BRPF1	ING5	Unknown
BRPF1	MEAF6	Unknown
BTAF1	DR1	Repression
BTAF1	TBP	Unknown
BTF3	ABL2	Activation
BTF3	ATM	Activation
BTF3	EPHB2	Activation
BTF3	HPSE2	Activation
BTF3	MADCAM1	Repression
BTF3	MRVI1	Repression
BTF3	NFKB1	Repression
BTF3	RRAS2	Repression
BTF3	SSPN	Repression
BTG2	CCND1	Repression
BTG2	HRAS	Repression
BTG2	KLK3	Repression
BTG2	SPHK1	Activation
CBFA2T3	TCF12	Unknown
CBFA2T3	ZNF652	Repression
CBFB	GATA1	Unknown
CBFB	RUNX1	Unknown
CBFB	RUNX2	Unknown
CBFB	RUNX3	Unknown
CBX7	CCNE1	Repression
CBX7	CDH1	Activation
CBX8	CDKN1A	Repression
CDC5L	PLRG1	Unknown
CDCA7L	MAOB	Repression
CDX1	DSC2	Unknown
CDX1	IRF2BP2	Unknown
CDX1	KRT20	Unknown
CDX1	PCNA	Activation
CDX1	POSTN	Unknown
CDX1	PPARG	Activation
CDX1	PTGS2	Activation
CDX1	TBP	Unknown
CDX2	ABCB1	Activation
CDX2	ACAT2	Activation
CDX2	APC	Unknown
CDX2	AXIN2	Unknown
CDX2	CDH17	Activation
CDX2	CDKN1A	Activation
CDX2	CFTR	Activation
CDX2	DSC2	Unknown
CDX2	ELMO3	Activation
CDX2	FUT2	Activation
CDX2	GSK3B	Unknown
CDX2	GSPT1	Unknown
CDX2	GSTP1	Unknown
CDX2	GUCY2C	Unknown
CDX2	HEPH	Activation
CDX2	IGFBP3	Repression
CDX2	KLF4	Unknown
CDX2	LCT	Activation
CDX2	MEP1A	Activation
CDX2	MUC17	Unknown
CDX2	MUC2	Activation
CDX2	PTGS2	Repression
CDX2	REG4	Activation
CDX2	SLC15A1	Activation
CDX2	SLC9A2	Unknown
CDX2	SP1	Unknown
CDX2	TFF3	Activation
CDX2	UGT1A10	Activation
CDX2	UGT1A8	Activation
CDX2	UGT2B15	Unknown
CDX2	UGT2B17	Unknown
CDX2	VDR	Unknown
CEBPA	AFP	Unknown
CEBPA	ALB	Unknown
CEBPA	BCL2	Unknown
CEBPA	CCL2	Activation
CEBPA	CD163	Unknown
CEBPA	CRMP1	Unknown
CEBPA	CSF1	Unknown
CEBPA	CSF2RA	Unknown
CEBPA	CSF3R	Unknown
CEBPA	CXCR2	Unknown
CEBPA	CYP3A4	Unknown
CEBPA	DEFA1	Unknown
CEBPA	DEFA3	Unknown
CEBPA	ELANE	Unknown
CEBPA	F9	Unknown
CEBPA	FN1	Unknown
CEBPA	GAPDH	Unknown
CEBPA	HAMP	Activation
CEBPA	HK3	Unknown
CEBPA	HOMER3	Unknown
CEBPA	HSD17B11	Activation
CEBPA	HSPA4	Unknown
CEBPA	ICAM1	Unknown
CEBPA	ID1	Unknown
CEBPA	IGF1	Unknown
CEBPA	IGF2	Unknown
CEBPA	IL10	Unknown
CEBPA	IL3	Unknown
CEBPA	IL5	Unknown
CEBPA	IL6	Unknown
CEBPA	INSR	Activation
CEBPA	ITGAX	Activation
CEBPA	LEP	Unknown
CEBPA	MAD1L1	Unknown
CEBPA	MSR1	Unknown
CEBPA	MYC	Unknown
CEBPA	PCK1	Unknown
CEBPA	PCK2	Unknown
CEBPA	PRL	Unknown
CEBPA	S100A9	Activation
CEBPA	SAA1	Unknown
CEBPA	SERPINC1	Unknown
CEBPA	SFTPD	Unknown
CEBPA	SLC10A1	Unknown
CEBPA	SOCS3	Activation
CEBPA	SPI1	Unknown
CEBPA	SPP1	Activation
CEBPA	STAR	Unknown
CEBPA	STAT3	Unknown
CEBPA	TLR9	Unknown
CEBPA	VLDLR	Unknown
CEBPB	ABCB1	Unknown
CEBPB	ADM	Unknown
CEBPB	ALB	Unknown
CEBPB	ASNS	Unknown
CEBPB	BCL2L1	Unknown
CEBPB	CDKN1A	Activation
CEBPB	CR2	Unknown
CEBPB	CRP	Activation
CEBPB	CSF3R	Unknown
CEBPB	CSH1	Unknown
CEBPB	CSH2	Unknown
CEBPB	CSRP1	Unknown
CEBPB	CXCL8	Unknown
CEBPB	CYP19A1	Unknown
CEBPB	DAPK1	Unknown
CEBPB	DDIT3	Unknown
CEBPB	F8	Unknown
CEBPB	FASLG	Unknown
CEBPB	FURIN	Unknown
CEBPB	GADD45G	Unknown
CEBPB	GDF15	Activation
CEBPB	GFER	Unknown
CEBPB	GNLY	Unknown
CEBPB	HBB	Unknown
CEBPB	HP	Unknown
CEBPB	HSF1	Unknown
CEBPB	IL10	Unknown
CEBPB	IL13	Unknown
CEBPB	IL1B	Unknown
CEBPB	IL24	Unknown
CEBPB	IL3	Unknown
CEBPB	IL4	Unknown
CEBPB	IL5	Unknown
CEBPB	IL6	Unknown
CEBPB	INSR	Unknown
CEBPB	IRF4	Activation
CEBPB	MAD1L1	Unknown
CEBPB	MMP1	Unknown
CEBPB	OXTR	Activation
CEBPB	PCK2	Activation
CEBPB	PLAC1	Unknown
CEBPB	PRDM1	Activation
CEBPB	PRL	Unknown
CEBPB	PRSS50	Activation
CEBPB	PTGS2	Unknown
CEBPB	PTPN13	Unknown
CEBPB	S100A9	Activation
CEBPB	SAA1	Unknown
