from	to	type
BMS-387032	Cdk7	inhibitor
CHEMBL72862	Adora2a	antagonist
QUIZARTINIB	Pdgfrb	inhibitor
CHEMBL561708	Mtor	inhibitor
SUFENTANIL	Oprm1	agonist
PF-04691502	Pik3r2	inhibitor
CITRIC ACID	Sigmar1	binder
JNJ-42756493	Fgfr1	inhibitor
AEW-541	Igf1r	inhibitor
1400W	Nos2	inhibitor
RIGOSERTIB SODIUM	F2r	inhibitor
IMAGABALIN	Cacna1f	modulator
CHEMBL313714	Htr1a	agonist
CHEMBL1213492	Hdac5	inhibitor
CHEMBL179691	Gnrhr	antagonist
NKTR-171	Scn11a	blocker
LOXAPINE SUCCINATE	Drd4	antagonist
TIPROLISANT	Hrh4	antagonist
CHEMBL25554	Adra1b	antagonist
CHEMBL239226	Ptger2	agonist
ASP-3026	Alk	inhibitor
LOMITAPIDE	Mttp	inhibitor
PREGABALIN	Cacna1i	modulator
RUXOLITINIB	Jak2	inhibitor
PAZOPANIB	Pdgfrb	inhibitor
OXTRIPHYLLINE	Pde4c	inhibitor
VANDETANIB	Flt1	inhibitor
CHEMBL1770298	Fpr1	antagonist
ASP-3026	Alk	inhibitor
PANOBINOSTAT LACTATE	Hdac11	inhibitor
RAMELTEON	Mtnr1a	agonist
MEFENAMIC ACID	Trpm3	channel_blocker
PYRIMETHAMINE	Dhfr	inhibitor
IPILIMUMAB	Ctla4	antibody
ORPHENADRINE (CHLORIDE)	Nat2	inhibitor
PHENELZINE	Slc6a2	inhibitor
ESLICARBAZEPINE	Scn4a	blocker
CEDIRANIB	Pdgfrb	inhibitor
NEBOGLAMINE	Grin2a	positive_allosteric_modulator
GLUCAGON	Gcgr	binder
TESTOSTERONE UNDECANOATE	Ar	agonist
TELBERMIN	Kdr	agonist
CHEMBL1255648	Gria4	allosteric_modulator
CHORIOGONADOTROPIN ALFA	Lhcgr	agonist
CHEMBL285755	Drd2	agonist
METHYLLYCACONITINE	Chrna10	antagonist
ZIPRASIDONE	Slc6a4	inhibitor
Fruquintinib	Kdr	inhibitor
MEPROBAMATE	Prkce	activator
NAFCILLIN	Hrh4	antagonist
CHEMBL1213492	Hdac8	inhibitor
KETANSERIN	Slc18a1	inhibitor
OMARIGLIPTIN	Dpp4	inhibitor
MARAVIROC	Ccr5	antagonist
CUDC-101	Hdac4	inhibitor
BROMOCRIPTINE	Drd3	agonist
RWJ-67657	Mapk11	inhibitor
L-ALANINE	Abat	inhibitor
GUANIDINO ACETATE	Ccr5	agonist
DAPRODUSTAT	P4htm	inhibitor
TOLVAPTAN	Avpr2	antagonist
SU-14813	Kdr	inhibitor
ADENOSINE TRIPHOSPHATE	Abl2	inhibitor
NETOGLITAZONE	Ppara	agonist
TG100-115	Pik3cg	inhibitor
CHEMBL279453	Chrm2	antagonist
GALETERONE	Ar	antagonist
CHEMBL384527	P2ry6	agonist
PICTILISIB	Pik3r3	inhibitor
PROPOFOL	Gabrq	positive_allosteric_modulator
SUPROFEN	Ptgs1	inhibitor
CHLORDIAZEPOXIDE	Gabra5	positive_allosteric_modulator
INK-1117	Pik3ca	inhibitor
MECLOFENAMIC ACID	Cpt2	inhibitor
CHEMBL306380	Wnk1	inhibitor
ALITRETINOIN	Rxrg	agonist
TASELISIB	Pik3cb	inhibitor
NIFLUMIC ACID	Kcnq1	activator
BETAMETHASONE BENZOATE	Nr3c1	agonist
LY-2780301	Rps6kb1	inhibitor
PILOCARPINE HYDROCHLORIDE	Chrm1	agonist
TRASTUZUMAB EMTANSINE	Tubb1	inhibitor
DEXFOSFOSERINE	Grm7	agonist
SARIDEGIB	Smo	antagonist
HYDROXYUREA	Rrm2	inhibitor
SARGRAMOSTIM	Csf2ra	agonist
ENMD-2076	Kdr	inhibitor
NESIRITIDE	Npr1	agonist
FLUDARABINE PHOSPHATE	Rrm2	inhibitor
AJMALINE	Sstr3	agonist
DOPAMINE	Drd5	agonist
NV-128	Ndufb2	inhibitor
PLX-3397	Flt3	inhibitor
OPROZOMIB	Psmb4	inhibitor
DESOXYCORTICOSTERONE PIVALATE	Nr3c2	agonist
CARFILZOMIB	Psmb2	inhibitor
Roniciclib	Cdk8	inhibitor
NIVOCASAN	Casp9	inhibitor
PHENELZINE SULFATE	Maoa	inhibitor
SERTINDOLE	Htr2a	antagonist
DROXIDOPA	Adra1b	agonist
GLIPIZIDE	Kcnj11	blocker
ANTAQ	Npepps	inhibitor
CHEMBL565591	Ptger3	antagonist
Indantadol	Grin3b	antagonist
ZONAMPANEL	Gria1	antagonist
OLANZAPINE	Drd2	antagonist
SB-742457	Htr6	antagonist
BENOXINATE HYDROCHLORIDE	Scn4a	blocker
OLARATUMAB	Pdgfra	antibody
DESLORATADINE	Hrh1	antagonist
ALVIMOPAN	Oprk1	antagonist
X-396	Alk	inhibitor
PAZOPANIB HYDROCHLORIDE	Kit	inhibitor
DACLIZUMAB	Il2ra	inhibitor
CHEMBL420806	Itpr2	activator
THEOPHYLLINE	Pde3b	inhibitor
HALAZEPAM	Gabra4	positive_allosteric_modulator
ENCORAFENIB	Araf	inhibitor
ANISINDIONE	Ggcx	inhibitor
DACTOLISIB	Mtor	inhibitor
CARFILZOMIB	Psmd14	inhibitor
ROSIGLITAZONE	Pparg	agonist
RG-7666	Pik3r1	inhibitor
DIOTYROSINE	Hcrtr1	agonist
SOLABEGRON	Adrb2	agonist
PANITUMUMAB	Egfr	inhibitor
ALPELISIB	Pik3cd	inhibitor
DRONEDARONE HYDROCHLORIDE	Scn5a	blocker
CHEMBL432038	Grm3	antagonist
SPERMIDINE	Kcnj4	channel_blocker
CYCLOTHIAZIDE	Car2	inhibitor
METFORMIN HYDROCHLORIDE	mt-Nd4	inhibitor
CHEMBL265012	Ptger4	antagonist
MESORIDAZINE	Grin2c	antagonist
MELOXICAM	Ptgs2	inhibitor
