from	to	type
Aatf	Bak1	Unknown
Aatf	Bax	Unknown
Aatf	Bbc3	Unknown
Aatf	Cdkn1a	Unknown
Aatf	Tpt1	Activation
Aatf	Trp53	Activation
Abl1	Trp53	Unknown
Abl1	Trp73	Unknown
Aebp2	Jarid2	Unknown
Aebp2	Snai2	Unknown
Ahr	Abcc4	Unknown
Ahr	Apaf1	Unknown
Ahr	Cyp19a1	Activation
Ahr	Cyp1a1	Unknown
Ahr	Cyp1a2	Unknown
Ahr	Cyp1b1	Unknown
Ahr	E2f2	Unknown
Ahr	Gata4	Repression
Ahr	Gsta1	Activation
Ahr	Il17a	Unknown
Ahr	Il6	Repression
Ahr	Lhb	Unknown
Ahr	Nkx2-5	Repression
Ahr	Nqo1	Unknown
Ahr	Pla2g4a	Activation
Ahr	Ptgs2	Activation
Ahr	Serpinb2	Unknown
Ahr	Sim1	Unknown
Ahr	Smoc2	Unknown
Ahr	Snai2	Activation
Ahr	Ugt1a6a	Activation
Ahr	Vav3	Activation
Aire	Bmp2	Unknown
Aire	F11	Activation
Alx4	Fgf10	Activation
Ankrd1	Myl2	Repression
Ankrd1	Nppa	Repression
Apbb1	Lrp1	Repression
Apbb1	Notch1	Unknown
Apc	Ctnnb1	Unknown
Apc	Myc	Repression
Apc	Spp1	Activation
Apc	Tcf4	Activation
Apc	Trp53	Repression
Apex1	Apod	Unknown
Apex1	Blk	Activation
Apex1	Ccl12	Activation
Apex1	Nfkb1	Unknown
Apex1	Pax5	Activation
Apex1	Ptgs2	Activation
Apex1	Rela	Activation
Apex1	Tlr4	Repression
Ar	Ccr2	Activation
Ar	Cga	Repression
Ar	Fkbp5	Unknown
Ar	Foxa1	Unknown
Ar	Klkb1	Unknown
Ar	Nkx3-1	Unknown
Ar	Nr0b1	Repression
Ar	Psat1	Unknown
Ar	Runx2	Repression
Ar	Scnn1a	Activation
Ar	Sox2	Repression
Ar	Tnf	Activation
Arid3a	Cr2	Unknown
Arid5b	Sox9	Unknown
Arl6ip5	Parp1	Repression
Arl6ip5	Xrcc1	Activation
Arnt	Atxn3	Unknown
Arnt	Cyp1a1	Activation
Arnt	Cyp1a2	Unknown
Arnt	Cyp1b1	Unknown
Arnt	E2f2	Unknown
Arnt	Sim1	Unknown
Arnt	Th	Repression
Arntl	Bhlhe40	Activation
Arntl	Bhlhe41	Activation
Arntl	Ctnnb1	Unknown
Arntl	Cxcl5	Unknown
Arntl	Dbp	Unknown
Arntl	Maoa	Unknown
Arntl	Nfe2l2	Repression
Arntl	Per1	Activation
Arntl	Per2	Activation
Arntl	Tcf3	Unknown
Arntl	Vwf	Repression
Arntl	Wnt10a	Unknown
Arntl2	Thbd	Unknown
Arx	Kdm5c	Unknown
Arx	Shh	Activation
Ascl1	Bub1	Activation
Ascl1	Cdkn2d	Activation
Ascl1	Dll3	Unknown
Ascl1	Dll4	Activation
Ascl1	Hes5	Unknown
Ascl1	Pdgfra	Activation
Ascl1	Phox2a	Activation
Ascl1	Rnd3	Activation
Ascl1	Tph2	Activation
Ash1l	Tgfb1	Unknown
Ash1l	Timp1	Unknown
Asxl1	Fabp4	Unknown
Atf1	Cebpb	Unknown
Atf1	Hspa5	Unknown
Atf1	Nudt1	Unknown
Atf1	Thbs1	Unknown
Atf2	Ccnd1	Activation
Atf2	Cebpa	Activation
Atf2	Entpd1	Activation
Atf2	Fgf21	Activation
Atf2	Fos	Activation
Atf2	Gabrb3	Activation
Atf2	Il23a	Repression
Atf2	Ins2	Activation
Atf2	Per1	Unknown
Atf2	Pparg	Unknown
Atf2	Rela	Activation
Atf2	Rhob	Activation
Atf2	Serpinb5	Activation
Atf2	Sox9	Unknown
Atf2	Tnf	Activation
Atf2	Ucp1	Activation
Atf3	Atf3	Repression
Atf3	Ccnd1	Activation
Atf3	Gck	Unknown
Atf3	Il12b	Repression
Atf3	Il6	Repression
Atf3	Pdx1	Repression
Atf3	Sort1	Repression
Atf3	Tnfrsf10b	Activation
Atf4	Bglap3	Unknown
Atf4	Cdkn1a	Activation
Atf4	Cdkn1b	Activation
Atf4	Ddr2	Activation
Atf4	Fgf15	Activation
Atf4	Fgf2	Unknown
Atf4	Hspa5	Activation
Atf4	Ihh	Unknown
Atf4	Il6	Activation
Atf4	Mcm7	Unknown
Atf4	Mir106b	Unknown
Atf4	Sphk2	Activation
Atf4	Trib3	Unknown
Atf6	Hspa5	Activation
Atf6	Wbp1	Activation
Atm	Cdkn1a	Repression
Atm	Sp7	Activation
Atm	Trp53	Unknown
Atoh1	Barhl1	Activation
Atoh1	Hes6	Activation
Atoh1	Nr2f6	Activation
Atoh1	Pou4f3	Unknown
Bach1	Hmox1	Unknown
Bach1	Mmp1a	Activation
Bach1	Trp53	Repression
Bach2	Prdm1	Repression
Barx2	Acta2	Unknown
Barx2	L1cam	Unknown
Barx2	Pax1	Unknown
Batf2	Ccl5	Activation
Batf2	Nos2	Activation
Batf2	Tnf	Activation
Batf3	Irf8	Activation
Bcl11a	Frzb	Activation
Bcl11b	Ahr	Repression
Bcl11b	Bcl2l1	Activation
Bcl11b	Cdkn1b	Activation
Bcl11b	Foxp3	Unknown
Bcl11b	Gfi1	Unknown
Bcl11b	Il10	Unknown
Bcl11b	Notch1	Unknown
Bcl11b	Runx3	Repression
Bcl11b	Zbtb7b	Repression
Bcl3	Ccnd1	Unknown
Bcl3	Ctsl	Unknown
Bcl3	Cxcl10	Unknown
Bcl3	Fbxo32	Unknown
Bcl3	Ifng	Unknown
Bcl3	Il23a	Repression
Bcl3	Nfkb1	Unknown
Bcl3	Nfkb2	Unknown
Bcl3	Nos1	Unknown
Bcl3	Runx1	Unknown
Bcl3	Tnf	Unknown
Bcl3	Tnfaip3	Activation
Bcl3	Tnfrsf12a	Unknown
Bcl3	Trim63	Unknown
Bcl3	Ubc	Unknown
Bcl6	Batf	Repression
Bcl6	Bcl6	Repression
Bcl6	Cdkn1a	Repression
Bcl6	Cdkn1b	Repression
Bcl6	Cdkn2b	Repression
Bcl6	Csf1r	Activation
Bcl6	Gadd45a	Repression
Bcl6	Gata3	Repression
Bcl6	Hdac7	Repression
Bcl6	Ifng	Unknown
Bcl6	Il17a	Unknown
Bcl6	Il9	Repression
Bcl6	Mir21a	Repression
Bcl6	Myc	Activation
Bcl6	Prdm1	Repression
Bcl6	Rorc	Unknown
Bcl6	Socs2	Unknown
Bcl6	Tbx21	Unknown
Bcl6b	Rbpj	Unknown
Bhlhe40	Il2ra	Activation
Bmi1	Cdk1	Unknown
Bmi1	Cdkn1a	Unknown
Bmi1	Cdkn2a	Unknown
Bmi1	Cdkn2d	Repression
Bmi1	Dkk1	Unknown
Bmi1	E4f1	Activation
Bmi1	Hmga2	Repression
Bmi1	Ikzf1	Repression
Bmi1	Nanog	Repression
Bmi1	Nfkb1	Activation
Bmi1	Pmaip1	Unknown
Bmi1	Pten	Unknown
Bmp4	Chst11	Activation
Bmp6	Mycn	Unknown
Brca1	Akt1	Activation
Brca1	Cdkn1a	Activation
Brca1	Hmga2	Repression
Brca1	Mad2l1	Unknown
Brca1	Mdm2	Activation
Brca1	Rad51	Unknown
Brca1	Sirt1	Activation
Brca1	Tpt1	Activation
Brca2	Cdkn1a	Repression
Btg2	Atoh1	Activation
Btg2	Creb1	Activation
Bub3	Apod	Unknown
Cbfa2t3	Epb42	Unknown
Cbx6	Ccne1	Repression
Ccnd1	Cdkn2a	Activation
Cd7	Nfkb1	Activation
Cdx1	Ccl25	Unknown
Cdx1	Cdx2	Unknown
Cdx1	Mafb	Repression
Cdx2	Ccl25	Unknown
Cdx2	Cdh17	Activation
Cdx2	Cdx1	Unknown
Cdx2	Cdx4	Unknown
Cdx2	Glb1	Unknown
Cdx2	Heph	Activation
Cdx2	Kitl	Activation
Cdx2	Mgam	Unknown
Cdx2	Nanog	Unknown
Cdx2	Pou5f1	Repression
