name	id	type	tf	target	essential	developmental	mouse.ortholog	tumor.suppressor	proapoptotic	blood_cancer	breast_cancer	colorectal_cancer	gastric_cancer	liver_cancer	lung_cancer	nervous_system_cancer	pancreatic_cancer	prostate_cancer	sarcoma	skin_cancer
NFYA	ENSG00000001167	protein_coding	T	T	T	F	Nfya	F	F	F	F	F	F	F	F	F	F	F	F	T
ENPP4	ENSG00000001561	protein_coding	F	F	F	F	Enpp4	F	F	F	F	F	F	F	F	F	F	F	F	F
HS3ST1	ENSG00000002587	protein_coding	F	F	F	F	Hs3st1	F	F	F	F	F	F	F	F	F	T	F	F	F
WNT16	ENSG00000002745	protein_coding	F	F	F	T	Wnt16	F	F	T	F	F	F	F	F	F	F	F	F	F
KLHL13	ENSG00000003096	protein_coding	F	F	F	F	Klhl13	F	F	F	F	F	F	F	F	F	F	T	F	F
CYP26B1	ENSG00000003137	protein_coding	F	F	T	T	Cyp26b1	F	F	F	F	F	F	F	F	F	F	F	F	F
SLC7A2	ENSG00000003989	protein_coding	F	F	F	F	Slc7a2	F	F	F	F	T	F	T	F	F	F	F	F	F
POLDIP2	ENSG00000004142	protein_coding	F	F	F	F	Poldip2	F	F	F	F	F	F	F	F	F	F	F	F	F
RECQL	ENSG00000004700	protein_coding	F	F	F	F	Recql	F	F	F	F	F	F	F	F	F	F	F	F	F
HSPB6	ENSG00000004776	protein_coding	F	F	F	F	Hspb6	F	F	F	F	F	F	F	F	F	F	F	F	F
SLC22A16	ENSG00000004809	protein_coding	F	T	F	T	Slc22a16	F	F	F	F	F	F	F	F	F	F	F	F	F
HCCS	ENSG00000004961	protein_coding	F	F	T	T	Hccs	F	F	F	F	F	F	F	F	F	F	F	F	F
HOXA11	ENSG00000005073	protein_coding	F	F	F	T	Hoxa11	F	F	F	F	F	F	F	F	F	F	F	F	F
POLR2J	ENSG00000005075	protein_coding	F	F	F	F	Polr2j	F	F	F	F	F	F	F	F	F	F	F	F	F
MEOX1	ENSG00000005102	protein_coding	F	F	F	T	Meox1	F	F	F	F	F	F	F	F	F	F	F	F	F
TSPOAP1	ENSG00000005379	protein_coding	F	F	F	F	Tspoap1	F	F	F	F	F	F	F	F	F	F	F	F	F
GCFC2	ENSG00000005436	protein_coding	F	F	F	F	Gcfc2	F	F	F	F	F	F	F	F	F	F	F	F	F
FBXL3	ENSG00000005812	protein_coding	F	F	F	F	Fbxl3	F	F	F	F	F	F	T	F	T	F	F	F	F
ITGA3	ENSG00000005884	protein_coding	F	F	F	T	Itga3	F	F	F	F	F	F	F	F	F	F	F	F	F
