name	id	type	tf	target	essential	developmental	human.ortholog	tumor.suppressor	proapoptotic	blood_cancer	breast_cancer	colorectal_cancer	gastric_cancer	liver_cancer	lung_cancer	nervous_system_cancer	pancreatic_cancer	prostate_cancer	sarcoma	skin_cancer
Xkr4	ENSMUSG00000051951.5	protein_coding	F	F	F	F	XKR4	F	F	F	F	F	F	T	F	F	F	F	F	F
Rp1	ENSMUSG00000025900.12	protein_coding	F	F	F	F	RP1	F	F	F	F	F	F	F	F	F	F	F	F	F
Sox17	ENSMUSG00000025902.13	protein_coding	T	T	T	T	SOX17	F	F	F	F	F	F	F	F	F	F	F	F	F
Mrpl15	ENSMUSG00000033845.13	protein_coding	F	F	F	F	MRPL15	F	F	F	F	F	F	F	F	F	F	F	F	F
Lypla1	ENSMUSG00000025903.14	protein_coding	F	F	F	F	LYPLA1	F	F	F	F	F	F	F	F	F	F	F	F	F
Gm37988	ENSMUSG00000104217.1	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
Tcea1	ENSMUSG00000033813.15	protein_coding	F	F	T	T	TCEA1	F	F	F	T	T	F	F	F	T	F	F	T	F
Rgs20	ENSMUSG00000002459.17	protein_coding	F	F	F	F	RGS20	F	F	F	F	F	F	F	F	F	F	F	F	F
Atp6v1h	ENSMUSG00000033793.12	protein_coding	F	F	F	F	ATP6V1H	F	F	T	F	F	F	F	F	F	F	F	F	F
Oprk1	ENSMUSG00000025905.13	protein_coding	F	T	F	F	OPRK1	F	F	F	F	F	F	F	F	F	F	F	F	F
Npbwr1	ENSMUSG00000033774.4	protein_coding	F	F	F	F	NPBWR1	F	F	F	F	F	F	F	F	F	F	F	F	F
Rb1cc1	ENSMUSG00000025907.14	protein_coding	F	T	T	T	RB1CC1	T	F	F	F	F	F	F	F	F	F	F	F	F
Fam150a	ENSMUSG00000087247.3	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
St18	ENSMUSG00000033740.17	protein_coding	F	T	F	F	ST18	F	F	F	F	F	F	F	F	F	F	F	F	F
Pcmtd1	ENSMUSG00000051285.17	protein_coding	F	F	F	F	PCMTD1	F	F	T	T	F	F	F	F	T	F	F	F	F
Sntg1	ENSMUSG00000025909.16	protein_coding	F	F	F	F	SNTG1	F	F	F	F	F	F	T	F	T	F	F	F	F
Rrs1	ENSMUSG00000061024.8	protein_coding	F	F	F	F	RRS1	F	F	F	F	F	F	F	F	F	F	F	F	F
Adhfe1	ENSMUSG00000025911.14	protein_coding	F	F	F	F	ADHFE1	F	F	F	F	F	F	F	F	F	F	F	F	F
3110035E14Rik	ENSMUSG00000067879.3	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
Mybl1	ENSMUSG00000025912.16	protein_coding	T	F	T	F	MYBL1	F	F	T	F	F	F	F	F	F	F	F	F	F
Vcpip1	ENSMUSG00000045210.8	protein_coding	F	F	F	F	VCPIP1	F	F	T	F	T	F	F	F	F	F	F	F	F
Sgk3	ENSMUSG00000025915.14	protein_coding	F	F	F	F	SGK3	F	F	T	F	F	F	F	F	F	F	F	F	F
Mcmdc2	ENSMUSG00000046101.16	protein_coding	F	F	F	F	MCMDC2	F	F	F	F	F	F	F	F	F	F	F	F	F
Tcf24	ENSMUSG00000099032.2	protein_coding	F	F	F	F	TCF24	F	F	F	F	F	F	F	F	F	F	F	F	F
Ppp1r42	ENSMUSG00000025916.10	protein_coding	F	F	F	F	PPP1R42	F	F	T	F	F	F	F	F	F	F	F	F	F
